#Accession	Length	Protein_name	Protein_name_alternative	Gene_name	Organism_scientific	Organism_common	Function
P35555	2871	Fibrillin-1	?	FBN1	Homo sapiens	Human	Fibrillin-1: Structural component of the 10-12 nm diameter microfibrils of the extracellular matrix, which conveys both structural and regulatory properties to load-bearing connective tissues (PubMed:1860873, PubMed:15062093). Fibrillin-1-containing microfibrils provide long-term force bearing structural support (PubMed:27026396). In tissues such as the lung, blood vessels and skin, microfibrils form the periphery of the elastic fiber, acting as a scaffold for the deposition of elastin (PubMed:27026396). In addition, microfibrils can occur as elastin-independent networks in tissues such as the ciliary zonule, tendon, cornea and glomerulus where they provide tensile strength and have anchoring roles (PubMed:27026396). Fibrillin-1 also plays a key role in tissue homeostasis through specific interactions with growth factors, such as the bone morphogenetic proteins (BMPs), growth and differentiation factors (GDFs) and latent transforming growth factor-beta-binding proteins (LTBPs), cell-surface integrins and other extracellular matrix protein and proteoglycan components (PubMed:27026396). Regulates osteoblast maturation by controlling TGF-beta bioavailability and calibrating TGF-beta and BMP levels, respectively (By similarity). Negatively regulates osteoclastogenesis by binding and sequestering an osteoclast differentiation and activation factor TNFSF11 (PubMed:24039232). This leads to disruption of TNFSF11-induced Ca(2+) signaling and impairment of TNFSF11-mediated nuclear translocation and activation of transcription factor NFATC1 which regulates genes important for osteoclast differentiation and function (PubMed:24039232). Mediates cell adhesion via its binding to cell surface receptors integrins ITGAV:ITGB3 and ITGA5:ITGB1 (PubMed:12807887, PubMed:17158881). Binds heparin and this interaction has an important role in the assembly of microfibrils (PubMed:11461921). Asprosin: Adipokine secreted by white adipose tissue that plays an important regulatory role in the glucose metabolism of liver, muscle and pancreas (PubMed:27087445, PubMed:30853600). Hormone that targets the liver in response to fasting to increase plasma glucose levels (PubMed:27087445). Binds the olfactory receptor OR4M1 at the surface of hepatocytes and promotes hepatocyte glucose release by activating the protein kinase A activity in the liver, resulting in rapid glucose release into the circulation (PubMed:27087445, PubMed:31230984). May act as a regulator of adaptive thermogenesis by inhibiting browning and energy consumption, while increasing lipid deposition in white adipose tissue (By similarity). Also acts as an orexigenic hormone that increases appetite: crosses the blood brain barrier and exerts effects on the hypothalamus (By similarity). In the arcuate nucleus of the hypothalamus, asprosin directly activates orexigenic AgRP neurons and indirectly inhibits anorexigenic POMC neurons, resulting in appetite stimulation (By similarity). Activates orexigenic AgRP neurons via binding to the olfactory receptor OR4M1 (By similarity). May also play a role in sperm motility in testis via interaction with OR4M1 receptor (By similarity).
P35556	2912	Fibrillin-2	?	FBN2	Homo sapiens	Human	Fibrillin-2: Fibrillins are structural components of 10-12 nm extracellular calcium-binding microfibrils, which occur either in association with elastin or in elastin-free bundles. Fibrillin-2-containing microfibrils regulate the early process of elastic fiber assembly. Regulates osteoblast maturation by controlling TGF-beta bioavailability and calibrating TGF-beta and BMP levels, respectively. Placensin: Hormone secreted by trophoblasts that promotes trophoblast invasiveness (PubMed:32329225). Has glucogenic activity: is able to increase plasma glucose levels (By similarity).
P36235	60	Disagregin	Platelet aggregation activation inhibitor	?	Ornithodoros moubata	Soft tick	Inhibits fibrinogen interaction with platelet receptors expressed on glycoprotein IIb-IIIa complex. Acts by binding to the glycoprotein IIb-IIIa receptor on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P39060	1754	Collagen alpha-1(XVIII) chain	?	COL18A1	Homo sapiens	Human	Probably plays a major role in determining the retinal structure as well as in the closure of the neural tube. Non-collagenous domain 1: May regulate extracellular matrix-dependent motility and morphogenesis of endothelial and non-endothelial cells; the function requires homotrimerization and implicates MAPK signaling. Endostatin: Potently inhibits endothelial cell proliferation and angiogenesis (PubMed:9459295). May inhibit angiogenesis by binding to the heparan sulfate proteoglycans involved in growth factor signaling (By similarity). Inhibits VEGFA-induced endothelial cell proliferation and migration. Seems to inhibit VEGFA-mediated signaling by blocking the interaction of VEGFA to its receptor KDR/VEGFR2. Modulates endothelial cell migration in an integrin-dependent manner implicating integrin ITGA5:ITGB1 and to a lesser extent ITGAV:ITGB3 and ITGAV:ITGB5 (By similarity). May negatively regulate the activity of homotrimeric non-collagenous domain 1 (PubMed:11257123).
P55083	255	Microfibril-associated glycoprotein 4	?	MFAP4	Homo sapiens	Human	Could be involved in calcium-dependent cell adhesion or intercellular interactions. May contribute to the elastic fiber assembly and/or maintenance (PubMed:26601954).
P55268	1798	Laminin subunit beta-2	Laminin B1s chain / Laminin-11 subunit beta / Laminin-14 subunit beta / Laminin-15 subunit beta / Laminin-3 subunit beta / Laminin-4 subunit beta / Laminin-7 subunit beta / Laminin-9 subunit beta / S-laminin subunit beta (S-LAM beta)	LAMB2	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
P61812	414	Transforming growth factor beta-2 proprotein	Cetermin / Glioblastoma-derived T-cell suppressor factor (G-TSF)	TGFB2	Homo sapiens	Human	Transforming growth factor beta-2 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-2 (TGF-beta-2) chains, which constitute the regulatory and active subunit of TGF-beta-2, respectively. Latency-associated peptide: Required to maintain the Transforming growth factor beta-2 (TGF-beta-2) chain in a latent state during storage in extracellular matrix (By similarity). Associates non-covalently with TGF-beta-2 and regulates its activation via interaction with 'milieu molecules', such as LTBP1 and LRRC32/GARP, that control activation of TGF-beta-2 (By similarity). Transforming growth factor beta-2: Multifunctional protein that regulates various processes such as angiogenesis and heart development (PubMed:22772371, PubMed:22772368). Activation into mature form follows different steps: following cleavage of the proprotein in the Golgi apparatus, Latency-associated peptide (LAP) and Transforming growth factor beta-2 (TGF-beta-2) chains remain non-covalently linked rendering TGF-beta-2 inactive during storage in extracellular matrix (By similarity). At the same time, LAP chain interacts with 'milieu molecules', such as LTBP1 and LRRC32/GARP, that control activation of TGF-beta-2 and maintain it in a latent state during storage in extracellular milieus (By similarity). Once activated following release of LAP, TGF-beta-2 acts by binding to TGF-beta receptors (TGFBR1 and TGFBR2), which transduce signal (By similarity).
P62384	73	Disintegrin albolabrin	Platelet aggregation activation inhibitor	?	Trimeresurus albolabris	White-lipped pit viper	Inhibits fibrinogen interaction with platelet receptors. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P68520	72	Disintegrin crotatroxin	Platelet aggregation activation inhibitor	?	Crotalus atrox	Western diamondback rattlesnake	Disintegrin crotatroxin: Inhibits fibrinogen interaction with platelets. Acts by binding to the alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Disintegrin crotatroxin-2: Inhibits ADP-induced platelet aggregation (IC(50) = 17.5nM), cancer cell migration in vitro, and experimental lung tumor colonization of cancer cells.
P68521	72	Disintegrin durissin	Platelet aggregation activation inhibitor	?	Crotalus durissus durissus	Central American rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P70701	417	Protein Wnt-10a	?	Wnt10a	Mus musculus	Mouse	Ligand for members of the frizzled family of seven transmembrane receptors (Probable). Functions in the canonical Wnt/beta-catenin signaling pathway. Plays a role in normal ectoderm development. Required for normal tooth development. Required for normal postnatal development and maintenance of tongue papillae and sweat ducts. Required for normal proliferation of basal cells in tongue filiform papillae, plantar epithelium and sweat ducts. Required for normal expression of keratins in tongue papillae. Required for normal expression of KRT9 in foot plant epithelium. Required for normal hair follicle function.
P78423	397	Fractalkine	C-X3-C motif chemokine 1 / CX3C membrane-anchored chemokine / Neurotactin / Small-inducible cytokine D1	CX3CL1	Homo sapiens	Human	Chemokine that acts as a ligand for both CX3CR1 and integrins ITGAV:ITGB3 and ITGA4:ITGB1 (PubMed:9782118, PubMed:12055230, PubMed:23125415, PubMed:9931005, PubMed:21829356). The CX3CR1-CX3CL1 signaling exerts distinct functions in different tissue compartments, such as immune response, inflammation, cell adhesion and chemotaxis (PubMed:9024663, PubMed:9177350, PubMed:9782118, PubMed:12055230). Regulates leukocyte adhesion and migration processes at the endothelium (PubMed:9024663, PubMed:9177350). Can activate integrins in both a CX3CR1-dependent and CX3CR1-independent manner (PubMed:23125415, PubMed:24789099). In the presence of CX3CR1, activates integrins by binding to the classical ligand-binding site (site 1) in integrins (PubMed:23125415, PubMed:24789099). In the absence of CX3CR1, binds to a second site (site 2) in integrins which is distinct from site 1 and enhances the binding of other integrin ligands to site 1 (PubMed:23125415, PubMed:24789099). Processed fractalkine: The soluble form is chemotactic for T-cells and monocytes, but not for neutrophils. Fractalkine: The membrane-bound form promotes adhesion of those leukocytes to endothelial cells.
P80012	937	von Willebrand factor	?	VWF	Bos taurus	Bovine	Important in the maintenance of hemostasis, it promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V. Also acts as a chaperone for coagulation factor VIII, delivering it to the site of injury, stabilizing its heterodimeric structure and protecting it from premature clearance from plasma.
P83469	41	Disintegrin obtustatin	?	?	Macrovipera lebetina obtusa	Levant blunt-nosed viper	Is a potent and selective inhibitor of alpha-1/beta-1 (ITGA1/ITGB1) integrin. It blocks the adhesion of alpha-1/beta-1-expressing K562 cells to immobilized collagens IV and I with IC(50) of 2 and 0.5 nM, respectively. Potently inhibits angiogenesis in chicken and in mouse model and reduces tumor development by half. Is 25-fold less potent than viperistatin.
Q072L5	477	Zinc metalloproteinase/disintegrin	?	?	Bothrops asper	Terciopelo	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin: Inhibits ADP- (IC(50)=59 nM) and collagen-induced (IC(50)=49 nM) aggregation of human platelets. In vitro, inhibits adhesion of endothelial cells to vitronectin, type-I collagen and, to a lower degree, fibronectin and laminin.
Q08431	387	Lactadherin	Breast epithelial antigen BA46 / HMFG / MFGM / Milk fat globule-EGF factor 8 (MFG-E8) / SED1	MFGE8	Homo sapiens	Human	Plays an important role in the maintenance of intestinal epithelial homeostasis and the promotion of mucosal healing. Promotes VEGF-dependent neovascularization (By similarity). Contributes to phagocytic removal of apoptotic cells in many tissues. Specific ligand for the alpha-v/beta-3 and alpha-v/beta-5 receptors. Also binds to phosphatidylserine-enriched cell surfaces in a receptor-independent manner. Zona pellucida-binding protein which may play a role in gamete interaction. Medin: Main constituent of aortic medial amyloid.
Q09JW3	107	Monogrin 1B	?	?	Argas monolakensis	Mono lake bird tick	?
Q09JW4	87	Monogrin 1A	?	?	Argas monolakensis	Mono lake bird tick	?
Q12864	832	Cadherin-17	Intestinal peptide-associated transporter HPT-1 / Liver-intestine cadherin (LI-cadherin)	CDH17	Homo sapiens	Human	Cadherins are calcium-dependent cell adhesion proteins. They preferentially interact with themselves in a homophilic manner in connecting cells; cadherins may thus contribute to the sorting of heterogeneous cell types. LI-cadherin may have a role in the morphological organization of liver and intestine. Involved in intestinal peptide transport.
Q13201	1228	Multimerin-1	EMILIN-4 / Elastin microfibril interface located protein 4 (Elastin microfibril interfacer 4) / Endothelial cell multimerin	MMRN1	Homo sapiens	Human	Carrier protein for platelet (but not plasma) factor V/Va. Plays a role in the storage and stabilization of factor V in platelets. Upon release following platelet activation, may limit platelet and plasma factor Va-dependent thrombin generation. Ligand for integrin alpha-IIb/beta-3 and integrin alpha-V/beta-3 on activated platelets, and may function as an extracellular matrix or adhesive protein.
Q13444	863	Disintegrin and metalloproteinase domain-containing protein 15	Metalloprotease RGD disintegrin protein / Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 (MDC-15) / Metargidin	ADAM15	Homo sapiens	Human	Active metalloproteinase with gelatinolytic and collagenolytic activity. Plays a role in the wound healing process. Mediates both heterotypic intraepithelial cell/T-cell interactions and homotypic T-cell aggregation. Inhibits beta-1 integrin-mediated cell adhesion and migration of airway smooth muscle cells. Suppresses cell motility on or towards fibronectin possibly by driving alpha-v/beta-1 integrin (ITAGV-ITGB1) cell surface expression via ERK1/2 inactivation. Cleaves E-cadherin in response to growth factor deprivation. Plays a role in glomerular cell migration. Plays a role in pathological neovascularization. May play a role in cartilage remodeling. May be proteolytically processed, during sperm epididymal maturation and the acrosome reaction. May play a role in sperm-egg binding through its disintegrin domain.
Q13751	1172	Laminin subunit beta-3	Epiligrin subunit bata / Kalinin B1 chain / Kalinin subunit beta / Laminin B1k chain / Laminin-5 subunit beta / Nicein subunit beta	LAMB3	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
Q13753	1193	Laminin subunit gamma-2	Cell-scattering factor 140 kDa subunit (CSF 140 kDa subunit) / Epiligrin subunit gamma / Kalinin subunit gamma / Kalinin/nicein/epiligrin 100 kDa subunit / Ladsin 140 kDa subunit / Laminin B2t chain / Laminin-5 subunit gamma / Large adhesive scatter factor 140 kDa subunit / Nicein subunit gamma	LAMC2	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Ladsin exerts cell-scattering activity toward a wide variety of cells, including epithelial, endothelial, and fibroblastic cells.
Q14FJ4	494	Zinc metalloproteinase/disintegrin	Long ocellatusin precursor Eo-00006 (EOC00006)	?	Echis ocellatus	Ocellated saw-scaled viper	Snake venom metalloproteinase Eoc6: Impairs hemostasis in the envenomed animal. Disintegrin ocellatusin: Inhibits ADP-induced platelet aggregation (IC(50)=168 nM). Inhibits alpha-5/beta-1 (ITGA5/ITGB1) integrin and induces the expression of a ligand-induced binding site epitope on beta-1 integrin subunit. Has a direct chemotactic stimulus on human neutrophils in vitro.
Q15582	683	Transforming growth factor-beta-induced protein ig-h3	Kerato-epithelin / RGD-containing collagen-associated protein (RGD-CAP)	TGFBI	Homo sapiens	Human	Plays a role in cell adhesion (PubMed:8024701). May play a role in cell-collagen interactions (By similarity).
Q16363	1823	Laminin subunit alpha-4	Laminin-14 subunit alpha / Laminin-8 subunit alpha / Laminin-9 subunit alpha	LAMA4	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
Q16787	3333	Laminin subunit alpha-3	Epiligrin 170 kDa subunit (E170) / Epiligrin subunit alpha / Kalinin subunit alpha / Laminin-5 subunit alpha / Laminin-6 subunit alpha / Laminin-7 subunit alpha / Nicein subunit alpha	LAMA3	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Laminin-5 is thought to be involved in (1) cell adhesion via integrin alpha-3/beta-1 in focal adhesion and integrin alpha-6/beta-4 in hemidesmosomes, (2) signal transduction via tyrosine phosphorylation of pp125-FAK and p80, (3) differentiation of keratinocytes.
Q28022	170	Microfibrillar-associated protein 5	MP25 / Microfibril-associated glycoprotein 2 (MAGP-2)	MFAP5	Bos taurus	Bovine	May play a role in hematopoiesis. In the cardiovascular system, could regulate growth factors or participate in cell signaling in maintaining large vessel integrity (By similarity). Component of the elastin-associated microfibrils (By similarity).
Q3BK14	107	Disintegrin lebestatin	ML-(6,9,10) / ML-4	?	Macrovipera lebetina	Levantine viper	Specifically interacts with the alpha-1/beta-1 integrin (ITGA1/ITGB1). Exhibits highly inhibitory effects on cell adhesion and cell migration to collagens I and IV. Also shows in vivo anti-angiogenic activity.
Q5H8C1	2179	FRAS1-related extracellular matrix protein 1	Protein QBRICK	FREM1	Homo sapiens	Human	Extracellular matrix protein that plays a role in epidermal differentiation and is required for epidermal adhesion during embryonic development.
Q5VI73	405	Collagen-like protein	?	scl1	Streptococcus pyogenes	?	?
Q5XUW8	476	Zinc metalloproteinase/disintegrin	?	?	Bothrops insularis	Golden lancehead	Snake venom metalloproteinase insularinase-A: Non-hemorrhagic proteinase that activates prothrombin (F2) calcium-independently. Activates factor X (F10) and hydrolyzes the Aalpha-chain and more slowly the Bbeta-chain of fibrin and fibrinogen without affecting the gamma chain. It induces neither detachment nor apoptosis of human endothelial cells and is also not able to trigger an endothelial pro-inflammatory cell response. Nitric oxide and prostacyclin levels released by endothelial cells are significantly increased after treatment with insularinase A. Disintegrin insularin: Inhibits ADP-induced platelet aggregation (IC(50)=0.8 uM for native protein) (PubMed:21073888). Interestingly, inhibits the adhesion of HUVECs to immobilized fibrinogen at very low concentrations (IC(50)=36 nM) (PubMed:21073888).
Q63HQ2	1017	Pikachurin	Agrin-like protein / EGF-like, fibronectin type-III and laminin G-like domain-containing protein	EGFLAM	Homo sapiens	Human	Involved in both the retinal photoreceptor ribbon synapse formation and physiological functions of visual perception. Necessary for proper bipolar dendritic tip apposition to the photoreceptor ribbon synapse. Promotes matrix assembly and cell adhesiveness (By similarity).
Q66578	2180	Genome polyprotein	?	?	Human parechovirus 1 (strain Harris)	HPeV-1	Capsid proteins VP0, VP2, VP3 form a closed capsid enclosing the viral positive strand RNA genome. Capsid proteins interact with host alpha-V/beta-3 integrin heterodimer to provide virion attachment target cell. This attachment induces virion internalization predominantly through clathrin-mediated endocytosis. Protein 2A: Is not a protease. Protein 2B: Affects membrane integrity and cause an increase in membrane permeability. Protein 2C: Associates with and induces structural rearrangements of intracellular membranes. It displays RNA-binding, nucleotide binding and NTPase activities (By similarity). Protein 3A, via its hydrophobic domain, serves as membrane anchor. Protease 3C: Cysteine protease that generates mature viral proteins from the precursor polyprotein. In addition to its proteolytic activity, it binds to viral RNA, and thus influences viral genome replication. RNA and substrate bind cooperatively to the protease (By similarity). RNA-directed RNA polymerase 3D-POL replicates genomic and antigenomic RNA by recognizing replications specific signals.
Q6PMW3	2332	Genome polyprotein	?	?	Foot-and-mouth disease virus O	?	Associates with and induces structural rearrangements of intracellular membranes. Triggers host autophagy by interacting with host BECN1 and thereby promotes viral replication. Participates in viral replication and interacts with host DHX9. Displays RNA-binding, nucleotide binding and NTPase activities. May play a role in virion morphogenesis and viral RNA encapsidation by interacting with the capsid protein VP3. Capsid protein V3: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP0 and VP3. The capsid is composed of 60 copies of each capsid protein organized in the form of twelve pentamers and encloses the viral positive strand RNA genome. Covalently linked to the 5'-end of both the positive-strand and negative-strand genomic RNAs. Acts as a genome-linked replication primer. Cysteine protease that generates mature viral proteins from the precursor polyprotein. In addition to its proteolytic activity, binds to viral RNA and thus influences viral genome replication. RNA and substrate bind cooperatively to the protease. Mediates self-processing of the polyprotein by a translational effect termed 'ribosome skipping'. Mechanistically, 2A-mediated cleavage occurs between the C-terminal glycine and the proline of the downstream protein 2B. In the case of foot-and-mouth disease virus, the 2A oligopeptide is post-translationally 'trimmed' from the C-terminus of the upstream protein 1D by 3C proteinase. Plays an essential role in the virus replication cycle by acting as a viroporin. Creates a pore in the host reticulum endoplasmic and as a consequence releases Ca2+ in the cytoplasm of infected cell. In turn, high levels of cytoplasmic calcium may trigger membrane trafficking and transport of viral ER-associated proteins to viroplasms, sites of viral genome replication. Plays important roles in virus replication, virulence and host range. RNA-directed RNA polymerase 3D-POL replicates genomic and antigenomic RNA by recognizing replications specific signals. Covalently attaches UMP to a tyrosine of VPg, which is used to prime RNA synthesis. The positive stranded RNA genome is first replicated at virus induced membranous vesicles, creating a dsRNA genomic replication form. This dsRNA is then used as template to synthesize positive stranded RNA genomes. ss(+)RNA genomes are either translated, replicated or encapsidated.
Q6UXI9	565	Nephronectin	Preosteoblast EGF-like repeat protein with MAM domain / Protein EGFL6-like	NPNT	Homo sapiens	Human	Functional ligand of integrin alpha-8/beta-1 in kidney development. Regulates the expression of GDNF with integrin alpha-8/beta-1 which is essential for kidney development. May also play a role in the development and function of various tissues, regulating cell adhesion, spreading and survival through the binding of several integrins (By similarity).
Q7LZI5	71	Disintegrin ussuristatin-1	?	?	Gloydius ussuriensis	Ussuri mamushi	Strongly suppress platelet aggregation induced by ADP, collagen, thrombin, and epinephrine (IC(50)=17-33 nM). Also dose-dependently inhibits the adhesion of human melanoma cells to fibrinogen and fibronectin.
Q7LZK0	49	Disintegrin echistatin-gamma	?	?	Echis pyramidum leakeyi	Leakey's carpet viper	Has antiplatelet activities on guinea pig, followed by human, rabbit and rat platelet-rich plasma.
Q7LZK1	50	Disintegrin echistatin-beta	?	?	Echis pyramidum leakeyi	Leakey's carpet viper	Has antiplatelet activities on human, followed by human, guinea pig, rabbit and rat platelet-rich plasma.
Q7LZT4	71	Disintegrin ussuristatin-2	?	?	Gloydius ussuriensis	Ussuri mamushi	Suppress platelet aggregation induced by ADP, collagen, thrombin, and epinephrine (IC(50)=170-330 nM). Also dose-dependently inhibits the adhesion of human melanoma cells to fibrinogen but not to fibronectin.
Q7T2Q0	154	Snaclec EMS16 subunit beta	?	?	Echis multisquamatus	Central Asian sand viper	EMS16 is a potent and selective inhibitor of alpha-2/beta-1 (ITGA2/ITGB1) integrin and acts as a potent antagonist of platelet aggregation and cell migration. Binds specifically to the I domain of the alpha-2 subunit, in a metal ion-independent fashion.
Q7T2Q1	157	Snaclec EMS16 subunit alpha	?	?	Echis multisquamatus	Central Asian sand viper	EMS16 is a potent and selective inhibitor of alpha-2/beta-1 (ITGA2/ITGB1) integrin and acts as a potent antagonist of platelet aggregation and cell migration. Binds specifically to the I domain of the alpha-2 subunit, in a metal ion-independent fashion.
Q7ZZM2	110	Disintegrin jerdostatin	?	?	Protobothrops jerdonii	Jerdon's pitviper	Recombinant protein inhibits the adhesion of alpha-1/beta-1-K562 (ITGA1/ITGB1) cells to collagen IV with an IC(50) of 80 nM.
Q7ZZS9	481	Zinc metalloproteinase/disintegrin	?	?	Protobothrops jerdonii	Jerdon's pitviper	Snake venom metalloproteinase TJM-1: Impairs hemostasis in the envenomed animal. Disintegrin jerdonin: Inhibits platelet aggregation induced by ADP and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3). Has antitumor-growth activity.
Q801Z4	78	Disintegrin DisBa-01	?	?	Bothrops alternatus	Urutu	This recombinant disintegrin antagonizes integrins alpha-IIb/beta-3 (ITGA2B/ITGB3) and alpha-V/beta-3 (ITGAV/ITGB3). On ITGA2B/ITGB3, it interferes with the outside/-in phosphorylation of the focal adhesion kinase (PTK2 / FAK) downstream of the integrin. It strongly inhibits platelet aggregation induced by ADP, thrombin, and collagen, abolishes and reverses dynamic platelet recruitment to immobilized fibrinogen. In vivo, it induces a dramatic increase in the tail bleeding time, and has a strong antithrombotic activity (PubMed:18508682). On ITGAV/ITGB3, it inhibits the adhesion of ITGAV/ITGB3-expressing human microvascular endothelial cell line and murine melanoma cell line to vitronectin (IC(50) = 555 nM and 225 nM, respectively), and transiently inhibits their proliferation without direct cell toxicity. In vivo, it potently inhibits angiogenesis and metastasis (PubMed:17952617), probably due to its capability to strongly inhibit the expression of VEGF and its receptors in endothelial cells (PubMed:22561350). It also inhibits tumor cell migration in vitro (PubMed:22069567).
Q8AV97	158	Snaclec flavocetin-A subunit alpha	?	?	Protobothrops flavoviridis	Habu	Strong platelet aggregation inhibitor. Binds specifically to platelet glycoprotein Ibalpha (GP1BA) with high affinity and inhibits vWF-dependent platelet aggregation (PubMed:7599152). Has also been observed to induce small agglutinates in washed platelets by binding to GPIb (PubMed:10688335).
Q8AV98	148	Snaclec flavocetin-A subunit beta	?	?	Protobothrops flavoviridis	Habu	Strong platelet aggregation inhibitor. Binds specifically to platelet glycoprotein Ibalpha (GP1BA) with high affinity and inhibits vWF-dependent platelet aggregation (PubMed:7599152). Has also been observed to induce small agglutinates in washed platelets by binding to GPIb (PubMed:10688335).
Q8IUX8	553	Epidermal growth factor-like protein 6	MAM and EGF domains-containing gene protein	EGFL6	Homo sapiens	Human	May bind integrin alpha-8/beta-1 and play a role in hair follicle morphogenesis. Promotes matrix assembly (By similarity).
Q8K4G2	532	Collagen alpha-1(XXIII) chain	?	Col23a1	Mus musculus	Mouse	?
Q8MVZ3	82	Savignygrin	?	?	Ornithodoros kalahariensis	?	?
Q8NDA2	5059	Hemicentin-2	?	HMCN2	Homo sapiens	Human	?
Q8RLX7	444	Collagen-like protein 2	?	scl2	Streptococcus pyogenes	?	?
Q8WWA0	313	Intelectin-1	Endothelial lectin HL-1 / Galactofuranose-binding lectin / Intestinal lactoferrin receptor / Omentin	ITLN1	Homo sapiens	Human	Lectin that specifically recognizes microbial carbohydrate chains in a calcium-dependent manner (PubMed:11313366, PubMed:26148048). Binds to microbial glycans that contain a terminal acyclic 1,2-diol moiety, including beta-linked D-galactofuranose (beta-Galf), D-phosphoglycerol-modified glycans, D-glycero-D-talo-oct-2-ulosonic acid (KO) and 3-deoxy-D-manno-oct-2-ulosonic acid (KDO) (PubMed:26148048). Binds to glycans from Gram-positive and Gram-negative bacteria, including K.pneumoniae, S.pneumoniae, Y.pestis, P.mirabilis and P.vulgaris (PubMed:26148048). Does not bind human glycans (PubMed:26148048). Probably plays a role in the defense system against microorganisms (Probable). May function as adipokine that has no effect on basal glucose uptake but enhances insulin-stimulated glucose uptake in adipocytes (PubMed:16531507). Increases AKT phosphorylation in the absence and presence of insulin (PubMed:16531507). May interact with lactoferrin/LTF and increase its uptake, and may thereby play a role in iron absorption (PubMed:11747454, PubMed:23921499).
Q90WC0	317	Zinc metalloproteinase/disintegrin	?	?	Gloydius brevicaudus	Korean slamosa snake	Snake venom metalloproteinase brevilysin L4: metalloproteinase that impairs hemostasis in the envenomed animal. Disintegrin salmosin-1: Inhibits GPIIb/GPIIIa (ITGA2B/ITGB3) binding to immobilized fibrinogen with an IC(50) of 2.2 nM and ADP-induced platelet aggregation with an IC(50) of 131 nM, respectively. Inhibits angiogenesis. By binding to vitronectin receptor (alpha-V/beta-3 (ITGAV/ITGB3)), also induces apoptosis of endothelial cells by blocking their attachment to extracellular matrix proteins. Disintegrin salmosin-1 minor component: Inhibits platelet aggregation induced by ADP (IC(50) is 30 nM), collagen (IC(50) is 500 nM), thrombin and epinephrin (IC(50) is 160 nM).
Q91V88	561	Nephronectin	Preosteoblast EGF-like repeat protein with MAM domain	Npnt	Mus musculus	Mouse	Functional ligand of integrin alpha-8/beta-1 in kidney development. Regulates the expression of GDNF with integrin alpha-8/beta-1 which is essential for kidney development. May also play a role in the development and function of various tissues, regulating cell adhesion, spreading and survival through the binding of several integrins.
Q95114	427	Lactadherin	BP47 / Components 15/16 / MFGM / MGP57/53 / Milk fat globule-EGF factor 8 (MFG-E8) / PAS-6/PAS-7 glycoprotein / SED1 / Sperm surface protein SP47	MFGE8	Bos taurus	Bovine	Contributes to phagocytic removal of apoptotic cells in many tissues. Plays an important role in the maintenance of intestinal epithelial homeostasis and the promotion of mucosal healing. Promotes VEGF-dependent neovascularization (By similarity). Specific ligand for the alpha-v/beta-3 and alpha-v/beta-5 receptors. Also binds to phosphatidylserine-enriched cell surfaces in a receptor-independent manner. Zona pellucida-binding protein which may play a role in gamete interaction.
Q96A83	441	Collagen alpha-1(XXVI) chain	Alpha-1 type XXVI collagen / EMI domain-containing protein 2 / Emilin and multimerin domain-containing protein 2 (Emu2)	COL26A1	Homo sapiens	Human	?
Q98W00	213	Genome polyprotein	?	1D	Foot-and-mouth disease virus O	?	?
